CEI BUSINESS ENTERPRISE PROGRAM CROSSWALK,,,,
Item,NIGP Description,NIGP CODE,NAICS Description,NAICS CODE
1,Crop Farming (Not Otherwise Classified),94438,Crop Production,111000
2,Oilseed and Grain Farming,94457,Oilseed and Grain Farming,111100
3,Soybean Farming,94476,Soybean Farming,111110
4,Oilseed and Grain Farming,94457,Oilseed (except Soybean) Farming,111120
5,Bean and Pea Farming,94426,Dry Pea and Bean Farming,111130
6,Wheat Farming,94493,Wheat Farming,111140
7,Corn Farming,94434,Corn Farming,111150
8,Rice Farming,94472,Rice Farming,111160
9,Grain Farming (Not Otherwise Classified),94445,Other Grain Farming,111190
10,Oilseed and Grain Farming,94457,Oilseed and Grain Combination Farming,111191
11,Grain Farming (Not Otherwise Classified),94445,All Other Grain Farming,111199
12,Vegetable and Melon Farming,94489,Vegetable and Melon Farming,111200
13,Vegetable and Melon Farming,94489,Vegetable and Melon Farming,111210
14,Potato Farming,94464,Potato Farming,111211
15,Vegetable and Melon Farming,94489,Other Vegetable (except Potato) and Melon Farming,111219
16,Fruit and Tree Nut Farming (Not Citrus),94442,Fruit and Tree Nut Farming,111300
17,Citrus Fruit Farming,94431,Orange Groves,111310
18,Citrus Fruit Farming,94431,Citrus (except Orange) Groves,111320
19,Fruit and Tree Nut Farming (Not Citrus),94442,Noncitrus Fruit and Tree Nut Farming,111330
20,Fruit and Tree Nut Farming (Not Citrus),94442,Apple Orchards,111331
21,Fruit and Tree Nut Farming (Not Citrus),94442,Grape Vineyards,111332
22,Fruit and Tree Nut Farming (Not Citrus),94442,Strawberry Farming,111333
23,Fruit and Tree Nut Farming (Not Citrus),94442,Berry (except Strawberry) Farming,111334
24,Fruit and Tree Nut Farming (Not Citrus),94442,Tree Nut Farming,111335
25,Fruit and Tree Nut Farming (Not Citrus),94442,Fruit and Tree Nut Combination Farming,111336
26,Fruit and Tree Nut Farming (Not Citrus),94442,Other Noncitrus Fruit Farming,111339
27,Nursery Products and Accessories,96751,"Greenhouse, Nursery, and Floriculture Production",111400
28,Crop Farming (Not Otherwise Classified),94438,Food Crops Grown Under Cover,111410
29,Crop Farming (Not Otherwise Classified),94438,Mushroom Production,111411
30,Crop Farming (Not Otherwise Classified),94438,Other Food Crops Grown Under Cover,111419
31,Nursery Products and Accessories,96751,Nursery and Floriculture Production,111420
32,Nursery Products and Accessories,96751,Nursery and Tree Production,111421
33,Nursery Products and Accessories,96751,Floriculture Production,111422
34,Crop Farming (Not Otherwise Classified),94438,Other Crop Farming,111900
35,Tobacco Farming,94485,Tobacco Farming,111910
36,Cotton Farming,94436,Cotton Farming,111920
37,Sugarcane Farming,94479,Sugarcane Farming,111930
38,Hay Farming,94448,Hay Farming,111940
39,Crop Farming (Not Otherwise Classified),94438,All Other Crop Farming,111990
40,Crop Farming (Not Otherwise Classified),94438,Sugar Beet Farming,111991
41,Peanut Farming,94460,Peanut Farming,111992
42,Crop Farming (Not Otherwise Classified),94438,All Other Miscellaneous Crop Farming,111998
43,"Animal Care, Animal Health, Animal Shelter, Animal Production (Breeding), Animal Training Services, etc. (Including Pet Services, All Types) ",96206,Animal Production,112000
44,Animal Farming and Ranching Services,94419,Cattle Ranching and Farming,112100
45,Animal Farming and Ranching Services,94419,"Beef Cattle Ranching and Farming, including Feedlots",112110
46,Animal Farming and Ranching Services,94419,Beef Cattle Ranching and Farming,112111
47,Feedlots ,82537,Cattle Feedlots,112112
48,"Cattle, Dairy ",4020,Dairy Cattle and Milk Production,112120
49,Dairy Products Processing Services ,96125,Dairy Cattle and Milk Production,112120
50,Animal Farming and Ranching Services,94419,Dual-Purpose Cattle Ranching and Farming,112130
51,Animal Farming and Ranching Services,94419,Hog and Pig Farming,112200
52,Animal Farming and Ranching Services,94419,Hog and Pig Farming,112210
53,Poultry Farming,94467,Poultry and Egg Production,112300
54,Poultry Farming,94467,Chicken Egg Production,112310
